广东电信组播👉,#genre#
239.2.1.128:8000,http://home4.kmo.ink:8888/rtp/239.2.1.128:8000
239.2.1.129:8000,http://home4.kmo.ink:8888/rtp/239.2.1.129:8000
CCTV5+,http://home4.kmo.ink:8888/rtp/239.2.1.130:8004
239.2.1.131:8024,http://home4.kmo.ink:8888/rtp/239.2.1.131:8024
239.2.1.132:8012,http://home4.kmo.ink:8888/rtp/239.2.1.132:8012
239.2.1.133:8016,http://home4.kmo.ink:8888/rtp/239.2.1.133:8016
239.2.1.134:8020,http://home4.kmo.ink:8888/rtp/239.2.1.134:8020
239.2.1.135:8028,http://home4.kmo.ink:8888/rtp/239.2.1.135:8028
239.2.1.136:8032,http://home4.kmo.ink:8888/rtp/239.2.1.136:8032
239.2.1.137:8036,http://home4.kmo.ink:8888/rtp/239.2.1.137:8036
239.2.1.138:8044,http://home4.kmo.ink:8888/rtp/239.2.1.138:8044
239.2.1.139:8000,http://home4.kmo.ink:8888/rtp/239.2.1.139:8000
239.2.1.140:8000,http://home4.kmo.ink:8888/rtp/239.2.1.140:8000
天津卫视,http://home4.kmo.ink:8888/rtp/239.2.1.141:1234
239.2.1.142:8048,http://home4.kmo.ink:8888/rtp/239.2.1.142:8048
239.2.1.143:4120,http://home4.kmo.ink:8888/rtp/239.2.1.143:4120
239.2.1.144:4120,http://home4.kmo.ink:8888/rtp/239.2.1.144:4120
239.2.1.146:4120,http://home4.kmo.ink:8888/rtp/239.2.1.146:4120
嘉佳卡通,http://home4.kmo.ink:8888/rtp/239.2.1.147:9268
239.2.1.148:8072,http://home4.kmo.ink:8888/rtp/239.2.1.148:8072
239.2.1.149:8076,http://home4.kmo.ink:8888/rtp/239.2.1.149:8076
CCTV17,http://home4.kmo.ink:8888/rtp/239.2.1.150:8064
CCTV17,http://home4.kmo.ink:8888/rtp/239.2.1.151:8144
239.2.1.152:8120,http://home4.kmo.ink:8888/rtp/239.2.1.152:8120
CCTV15,http://home4.kmo.ink:8888/rtp/239.2.1.153:8136
239.2.1.154:8000,http://home4.kmo.ink:8888/rtp/239.2.1.154:8000
239.2.1.155:4120,http://home4.kmo.ink:8888/rtp/239.2.1.155:4120
东南卫视,http://home4.kmo.ink:8888/rtp/239.2.1.156:8148
北京卫视,http://home4.kmo.ink:8888/rtp/239.2.1.157:8176
239.2.1.158:8000,http://home4.kmo.ink:8888/rtp/239.2.1.158:8000
239.2.1.159:8000,http://home4.kmo.ink:8888/rtp/239.2.1.159:8000
239.2.1.160:8000,http://home4.kmo.ink:8888/rtp/239.2.1.160:8000
239.2.1.161:8000,http://home4.kmo.ink:8888/rtp/239.2.1.161:8000
北京卫视,http://home4.kmo.ink:8888/rtp/239.2.1.162:8000
239.2.1.164:8000,http://home4.kmo.ink:8888/rtp/239.2.1.164:8000
茶频道,http://home4.kmo.ink:8888/rtp/239.2.1.165:8000
239.2.1.166:8000,http://home4.kmo.ink:8888/rtp/239.2.1.166:8000
239.2.1.167:8000,http://home4.kmo.ink:8888/rtp/239.2.1.167:8000
239.2.1.168:8000,http://home4.kmo.ink:8888/rtp/239.2.1.168:8000
239.2.1.169:8000,http://home4.kmo.ink:8888/rtp/239.2.1.169:8000
239.2.1.170:8000,http://home4.kmo.ink:8888/rtp/239.2.1.170:8000
239.2.1.171:8000,http://home4.kmo.ink:8888/rtp/239.2.1.171:8000
239.2.1.172:8000,http://home4.kmo.ink:8888/rtp/239.2.1.172:8000
CCTV5,http://home4.kmo.ink:8888/rtp/239.2.1.173:8000
239.2.1.174:8000,http://home4.kmo.ink:8888/rtp/239.2.1.174:8000
239.2.1.175:8000,http://home4.kmo.ink:8888/rtp/239.2.1.175:8000
239.2.1.176:8000,http://home4.kmo.ink:8888/rtp/239.2.1.176:8000
239.2.1.177:8000,http://home4.kmo.ink:8888/rtp/239.2.1.177:8000
239.2.1.178:8000,http://home4.kmo.ink:8888/rtp/239.2.1.178:8000
239.2.1.179:8000,http://home4.kmo.ink:8888/rtp/239.2.1.179:8000
239.2.1.180:8000,http://home4.kmo.ink:8888/rtp/239.2.1.180:8000
239.2.1.181:8000,http://home4.kmo.ink:8888/rtp/239.2.1.181:8000
239.2.1.183:8000,http://home4.kmo.ink:8888/rtp/239.2.1.183:8000
CCTV16,http://home4.kmo.ink:8888/rtp/239.2.1.184:8000
239.2.1.185:8000,http://home4.kmo.ink:8888/rtp/239.2.1.185:8000
239.2.1.186:8000,http://home4.kmo.ink:8888/rtp/239.2.1.186:8000
239.2.1.187:8000,http://home4.kmo.ink:8888/rtp/239.2.1.187:8000
239.2.1.188:8000,http://home4.kmo.ink:8888/rtp/239.2.1.188:8000
239.2.1.189:8000,http://home4.kmo.ink:8888/rtp/239.2.1.189:8000
239.2.1.190:8000,http://home4.kmo.ink:8888/rtp/239.2.1.190:8000
239.2.1.191:8000,http://home4.kmo.ink:8888/rtp/239.2.1.191:8000
239.2.1.193:8012,http://home4.kmo.ink:8888/rtp/239.2.1.193:8012
古装剧场,http://home4.kmo.ink:8888/rtp/239.2.1.194:9020
239.2.1.195:9024,http://home4.kmo.ink:8888/rtp/239.2.1.195:9024
239.2.1.196:9012,http://home4.kmo.ink:8888/rtp/239.2.1.196:9012
239.2.1.199:9000,http://home4.kmo.ink:8888/rtp/239.2.1.199:9000
山东卫视,http://home4.kmo.ink:8888/rtp/239.2.1.209:8052
辽宁卫视,http://home4.kmo.ink:8888/rtp/239.2.1.210:8056
239.2.1.211:8064,http://home4.kmo.ink:8888/rtp/239.2.1.211:8064
239.2.1.212:8060,http://home4.kmo.ink:8888/rtp/239.2.1.212:8060
239.2.1.213:4220,http://home4.kmo.ink:8888/rtp/239.2.1.213:4220
239.2.1.214:4220,http://home4.kmo.ink:8888/rtp/239.2.1.214:4220
239.2.1.215:4220,http://home4.kmo.ink:8888/rtp/239.2.1.215:4220
239.2.1.216:4220,http://home4.kmo.ink:8888/rtp/239.2.1.216:4220
239.2.1.217:4220,http://home4.kmo.ink:8888/rtp/239.2.1.217:4220
CGTN,http://home4.kmo.ink:8888/rtp/239.2.1.218:4220
CGTN,http://home4.kmo.ink:8888/rtp/239.2.1.219:4220
CGTN,http://home4.kmo.ink:8888/rtp/239.2.1.220:4220
购物,http://home4.kmo.ink:8888/rtp/239.2.1.222:8000
购物,http://home4.kmo.ink:8888/rtp/239.2.1.223:8000

陕西电信组播带域名👉,#genre#
凤凰中文[768*576],http://summer-xa.icopylock.com:8888/udp/239.111.205.78:5140
凤凰资讯[768*576],http://summer-xa.icopylock.com:8888/udp/239.111.205.82:5140
CHC动作电影,http://summer-xa.icopylock.com:8888/udp/239.110.205.6:9770
CHC动作电影,http://summer-xa.icopylock.com:8888/udp/239.112.205.207:5140
CHC高清电影,http://summer-xa.icopylock.com:8888/udp/239.109.205.97:8712
CHC高清电影,http://summer-xa.icopylock.com:8888/udp/239.112.205.206:5140
CHC家庭影院,http://summer-xa.icopylock.com:8888/udp/239.112.205.205:5140
安康镇坪,http://summer-xa.icopylock.com:8888/udp/239.109.205.67:8472
安康镇坪,http://summer-xa.icopylock.com:8888/udp/239.111.205.27:5140
安康综合,http://summer-xa.icopylock.com:8888/udp/239.109.205.104:8768
安康综合,http://summer-xa.icopylock.com:8888/udp/239.112.205.216:5140
白水,http://summer-xa.icopylock.com:8888/udp/239.109.205.87:8632
白水1[768*576],http://summer-xa.icopylock.com:8888/udp/239.112.205.219:5140
百视通,http://summer-xa.icopylock.com:8888/udp/239.111.205.21:5140
宝鸡,http://summer-xa.icopylock.com:8888/udp/239.112.205.144:5140
宝鸡,http://summer-xa.icopylock.com:8888/udp/239.112.205.147:5140
宝鸡1,http://summer-xa.icopylock.com:8888/udp/239.112.205.143:5140
宝鸡2,http://summer-xa.icopylock.com:8888/udp/239.112.205.148:5140
彬洲,http://summer-xa.icopylock.com:8888/udp/239.110.205.49:9922
彬洲,http://summer-xa.icopylock.com:8888/udp/239.112.205.181:5140
陈仓,http://summer-xa.icopylock.com:8888/udp/239.111.205.245:5140
城固,http://summer-xa.icopylock.com:8888/udp/239.111.205.79:5140
澄城新闻,http://summer-xa.icopylock.com:8888/udp/239.109.205.76:8544
澄城新闻,http://summer-xa.icopylock.com:8888/udp/239.112.205.191:5140
淳化,http://summer-xa.icopylock.com:8888/udp/239.111.205.97:5140
凤翔,http://summer-xa.icopylock.com:8888/udp/239.111.205.244:5140
扶风,http://summer-xa.icopylock.com:8888/udp/239.111.205.80:5140
佛坪,http://summer-xa.icopylock.com:8888/udp/239.112.205.229:5140
富平,http://summer-xa.icopylock.com:8888/udp/239.109.205.71:8504
富平,http://summer-xa.icopylock.com:8888/udp/239.112.205.188:5140
韩城综合,http://summer-xa.icopylock.com:8888/udp/239.109.205.72:8512
韩城综合,http://summer-xa.icopylock.com:8888/udp/239.112.205.166:5140
汉中,http://summer-xa.icopylock.com:8888/udp/239.112.205.215:5140
合阳,http://summer-xa.icopylock.com:8888/udp/239.109.205.92:8672
合阳,http://summer-xa.icopylock.com:8888/udp/239.112.205.190:5140
岚皋,http://summer-xa.icopylock.com:8888/udp/239.111.205.248:5140
麟游,http://summer-xa.icopylock.com:8888/udp/239.111.205.31:5140
留坝,http://summer-xa.icopylock.com:8888/udp/239.110.205.54:9942
留坝,http://summer-xa.icopylock.com:8888/udp/239.112.205.240:5140
陇县,http://summer-xa.icopylock.com:8888/udp/239.111.205.252:5140
略阳,http://summer-xa.icopylock.com:8888/udp/239.110.205.50:9926
略阳,http://summer-xa.icopylock.com:8888/udp/239.112.205.235:5140
眉县新闻,http://summer-xa.icopylock.com:8888/udp/239.111.205.81:5140
勉县综合,http://summer-xa.icopylock.com:8888/udp/239.110.205.53:9938
勉县综合,http://summer-xa.icopylock.com:8888/udp/239.112.205.239:5140
南郑,http://summer-xa.icopylock.com:8888/udp/239.110.205.82:7948
南郑,http://summer-xa.icopylock.com:8888/udp/239.111.205.8:5140
宁强,http://summer-xa.icopylock.com:8888/udp/239.111.205.18:5140
蒲城综合[720*576],http://summer-xa.icopylock.com:8888/udp/239.112.205.194:5140
千阳,http://summer-xa.icopylock.com:8888/udp/239.111.205.250:5140
陕视融媒,http://summer-xa.icopylock.com:8888/udp/239.110.205.52:9934
陕视直播,http://summer-xa.icopylock.com:8888/udp/239.110.205.41:9874
陕视直播,http://summer-xa.icopylock.com:8888/udp/239.112.205.217:5140
陕西1套,http://summer-xa.icopylock.com:8888/udp/239.109.205.2:9120
陕西1套,http://summer-xa.icopylock.com:8888/udp/239.110.205.83:7944
陕西1套,http://summer-xa.icopylock.com:8888/udp/239.112.205.18:5140
陕西2套,http://summer-xa.icopylock.com:8888/udp/239.109.205.3:9128
陕西2套,http://summer-xa.icopylock.com:8888/udp/239.110.205.84:7940
陕西2套,http://summer-xa.icopylock.com:8888/udp/239.112.205.19:5140
陕西3套,http://summer-xa.icopylock.com:8888/udp/239.109.205.4:9136
陕西3套,http://summer-xa.icopylock.com:8888/udp/239.112.205.20:5140
陕西4套,http://summer-xa.icopylock.com:8888/udp/239.109.205.5:9144
陕西4套,http://summer-xa.icopylock.com:8888/udp/239.112.205.21:5140
陕西5套,http://summer-xa.icopylock.com:8888/udp/239.109.205.6:9152
陕西5套,http://summer-xa.icopylock.com:8888/udp/239.112.205.22:5140
陕西6套,http://summer-xa.icopylock.com:8888/udp/239.109.205.7:9160
陕西6套,http://summer-xa.icopylock.com:8888/udp/239.112.205.23:5140
陕西7套,http://summer-xa.icopylock.com:8888/udp/239.109.205.8:9168
陕西7套,http://summer-xa.icopylock.com:8888/udp/239.110.205.85:7936
陕西7套,http://summer-xa.icopylock.com:8888/udp/239.112.205.24:5140
陕西8套,http://summer-xa.icopylock.com:8888/udp/239.109.205.217:9706
陕西8套,http://summer-xa.icopylock.com:8888/udp/239.111.205.41:5140
陕西都市,http://summer-xa.icopylock.com:8888/udp/239.111.205.42:5140
陕西公共,http://summer-xa.icopylock.com:8888/udp/239.111.205.100:5140
陕西乐家购物,http://summer-xa.icopylock.com:8888/udp/239.111.205.101:5140
陕西生活,http://summer-xa.icopylock.com:8888/udp/239.111.205.98:5140
陕西卫视,http://summer-xa.icopylock.com:8888/udp/239.109.205.107:8792
陕西卫视,http://summer-xa.icopylock.com:8888/udp/239.109.205.66:8464
陕西卫视,http://summer-xa.icopylock.com:8888/udp/239.111.205.35:5140
陕西卫视,http://summer-xa.icopylock.com:8888/udp/239.112.205.17:5140
陕西新闻,http://summer-xa.icopylock.com:8888/udp/239.111.205.28:5140
陕西体育,http://summer-xa.icopylock.com:8888/udp/239.111.205.36:5140
陕西影视,http://summer-xa.icopylock.com:8888/udp/239.111.205.99:5140
商洛,http://summer-xa.icopylock.com:8888/udp/239.109.205.69:8488
商洛,http://summer-xa.icopylock.com:8888/udp/239.112.205.189:5140
太白,http://summer-xa.icopylock.com:8888/udp/239.111.205.251:5140
铜川,http://summer-xa.icopylock.com:8888/udp/239.109.205.194:9638
铜川[785*576],http://summer-xa.icopylock.com:8888/udp/239.111.205.29:5140
潼关综合[720*576],http://summer-xa.icopylock.com:8888/udp/239.111.205.12:5140
渭南新闻,http://summer-xa.icopylock.com:8888/udp/239.110.205.37:9854
渭南新闻,http://summer-xa.icopylock.com:8888/udp/239.111.205.19:5140
渭南新闻[720*576],http://summer-xa.icopylock.com:8888/udp/239.111.205.94:5140
西安1,http://summer-xa.icopylock.com:8888/udp/239.109.205.130:8976
西安2,http://summer-xa.icopylock.com:8888/udp/239.109.205.131:8984
西安3,http://summer-xa.icopylock.com:8888/udp/239.110.205.38:9858
西安4,http://summer-xa.icopylock.com:8888/udp/239.110.205.39:9862
西安都市[791*576],http://summer-xa.icopylock.com:8888/udp/239.111.205.243:5140
西安教育,http://summer-xa.icopylock.com:8888/udp/239.110.205.24:9842
西安教育[768*576],http://summer-xa.icopylock.com:8888/udp/239.112.205.142:5140
西安乐购,http://summer-xa.icopylock.com:8888/udp/239.111.205.30:5140
西安商务[785*576],http://summer-xa.icopylock.com:8888/udp/239.112.205.174:5140
西安丝路[785*576],http://summer-xa.icopylock.com:8888/udp/239.112.205.176:5140
西安新闻[791*576],http://summer-xa.icopylock.com:8888/udp/239.111.205.242:5140
西安影视[785*576],http://summer-xa.icopylock.com:8888/udp/239.112.205.175:5140
西部电影,http://summer-xa.icopylock.com:8888/udp/239.111.205.102:5140
西藏卫视,http://summer-xa.icopylock.com:8888/udp/239.109.205.45:8296
西藏卫视,http://summer-xa.icopylock.com:8888/udp/239.112.205.54:5140
西教二,http://summer-xa.icopylock.com:8888/udp/239.110.205.47:9914
西教二,http://summer-xa.icopylock.com:8888/udp/239.112.205.242:5140
西教三,http://summer-xa.icopylock.com:8888/udp/239.110.205.48:9918
西教三,http://summer-xa.icopylock.com:8888/udp/239.112.205.241:5140
西教一,http://summer-xa.icopylock.com:8888/udp/239.110.205.59:9910
西乡融媒,http://summer-xa.icopylock.com:8888/udp/239.111.205.17:5140
咸阳综合[720*576],http://summer-xa.icopylock.com:8888/udp/239.112.205.141:5140
兴平融媒[785*576],http://summer-xa.icopylock.com:8888/udp/239.112.205.168:5140
延安1[720*576],http://summer-xa.icopylock.com:8888/udp/239.112.205.169:5140
杨凌[785*576],http://summer-xa.icopylock.com:8888/udp/239.111.205.253:5140
洋县电视台,http://summer-xa.icopylock.com:8888/udp/239.111.205.77:5140
榆林1,http://summer-xa.icopylock.com:8888/udp/239.110.205.42:9882
榆林1[720*576],http://summer-xa.icopylock.com:8888/udp/239.112.205.177:5140
榆林2[720*576],http://summer-xa.icopylock.com:8888/udp/239.111.205.249:5140
圆点导视,http://summer-xa.icopylock.com:8888/udp/239.112.205.237:5140
圆点生活,http://summer-xa.icopylock.com:8888/udp/239.109.205.192:9608
圆点生活,http://summer-xa.icopylock.com:8888/udp/239.111.205.15:5140
圆点影视,http://summer-xa.icopylock.com:8888/udp/239.110.205.77:8016
悦美生活,http://summer-xa.icopylock.com:8888/udp/239.110.205.81:7952
悦美生活,http://summer-xa.icopylock.com:8888/udp/239.111.205.7:5140
紫阳,http://summer-xa.icopylock.com:8888/udp/239.112.205.220:5140
紫阳,http://summer-xa.icopylock.com:8888/udp/239.109.205.74:8528
4K,http://summer-xa.icopylock.com:8888/udp/239.112.205.186:5140
CCTV1,http://summer-xa.icopylock.com:8888/udp/239.109.205.118:8880
CCTV1,http://summer-xa.icopylock.com:8888/udp/239.109.205.9:8000
CCTV1,http://summer-xa.icopylock.com:8888/udp/239.111.205.9:5140
CCTV1,http://summer-xa.icopylock.com:8888/udp/239.112.205.231:5140
CCTV1,http://summer-xa.icopylock.com:8888/udp/239.112.205.59:5140
CCTV2,http://summer-xa.icopylock.com:8888/udp/239.109.205.10:8008
CCTV2,http://summer-xa.icopylock.com:8888/udp/239.109.205.106:8784
CCTV2,http://summer-xa.icopylock.com:8888/udp/239.112.205.2:5140
CCTV2,http://summer-xa.icopylock.com:8888/udp/239.112.205.78:5140
CCTV3,http://summer-xa.icopylock.com:8888/udp/239.109.205.73:8520
CCTV3,http://summer-xa.icopylock.com:8888/udp/239.109.205.79:8568
CCTV3,http://summer-xa.icopylock.com:8888/udp/239.112.205.221:5140
CCTV3,http://summer-xa.icopylock.com:8888/udp/239.112.205.225:5140
CCTV4,http://summer-xa.icopylock.com:8888/udp/239.109.205.11:8016
CCTV4,http://summer-xa.icopylock.com:8888/udp/239.109.205.159:9108
CCTV4,http://summer-xa.icopylock.com:8888/udp/239.112.205.202:5140
CCTV4,http://summer-xa.icopylock.com:8888/udp/239.112.205.4:5140
CCTV5,http://summer-xa.icopylock.com:8888/udp/239.109.205.214:9208
CCTV5,http://summer-xa.icopylock.com:8888/udp/239.109.205.80:8576
CCTV5,http://summer-xa.icopylock.com:8888/udp/239.112.205.222:5140
CCTV5,http://summer-xa.icopylock.com:8888/udp/239.112.205.226:5140
CCTV5＋,http://summer-xa.icopylock.com:8888/udp/239.111.205.13:5140
CCTV6,http://summer-xa.icopylock.com:8888/udp/239.109.205.83:8600
CCTV6,http://summer-xa.icopylock.com:8888/udp/239.109.205.84:8608
CCTV6,http://summer-xa.icopylock.com:8888/udp/239.112.205.223:5140
CCTV6,http://summer-xa.icopylock.com:8888/udp/239.112.205.227:5140
CCTV7,http://summer-xa.icopylock.com:8888/udp/239.109.205.12:8024
CCTV7,http://summer-xa.icopylock.com:8888/udp/239.110.205.7:9774
CCTV7,http://summer-xa.icopylock.com:8888/udp/239.112.205.7:5140
CCTV7,http://summer-xa.icopylock.com:8888/udp/239.112.205.83:5140
CCTV8,http://summer-xa.icopylock.com:8888/udp/239.109.205.141:9028
CCTV8,http://summer-xa.icopylock.com:8888/udp/239.109.205.90:8656
CCTV8,http://summer-xa.icopylock.com:8888/udp/239.112.205.224:5140
CCTV8,http://summer-xa.icopylock.com:8888/udp/239.112.205.228:5140
CCTV9,http://summer-xa.icopylock.com:8888/udp/239.110.205.1:9750
CCTV9,http://summer-xa.icopylock.com:8888/udp/239.110.205.8:9778
CCTV9,http://summer-xa.icopylock.com:8888/udp/239.112.205.85:5140
CCTV9,http://summer-xa.icopylock.com:8888/udp/239.112.205.9:5140
CCTV10,http://summer-xa.icopylock.com:8888/udp/239.109.205.14:8040
CCTV10,http://summer-xa.icopylock.com:8888/udp/239.110.205.9:9782
CCTV10,http://summer-xa.icopylock.com:8888/udp/239.112.205.10:5140
CCTV10,http://summer-xa.icopylock.com:8888/udp/239.112.205.86:5140
CCTV11,http://summer-xa.icopylock.com:8888/udp/239.109.205.102:8752
CCTV11,http://summer-xa.icopylock.com:8888/udp/239.109.205.15:8048
CCTV11,http://summer-xa.icopylock.com:8888/udp/239.112.205.11:5140
CCTV11,http://summer-xa.icopylock.com:8888/udp/239.112.205.213:5140
CCTV12,http://summer-xa.icopylock.com:8888/udp/239.109.205.16:8056
CCTV12,http://summer-xa.icopylock.com:8888/udp/239.110.205.10:9786
CCTV12,http://summer-xa.icopylock.com:8888/udp/239.112.205.12:5140
CCTV12,http://summer-xa.icopylock.com:8888/udp/239.112.205.88:5140
CCTV13,http://summer-xa.icopylock.com:8888/udp/239.109.205.17:8064
CCTV13,http://summer-xa.icopylock.com:8888/udp/239.111.205.53:5140
CCTV13,http://summer-xa.icopylock.com:8888/udp/239.112.205.13:5140
CCTV14,http://summer-xa.icopylock.com:8888/udp/239.109.205.18:8072
CCTV14,http://summer-xa.icopylock.com:8888/udp/239.110.205.20:9826
CCTV14,http://summer-xa.icopylock.com:8888/udp/239.112.205.15:5140
CCTV14,http://summer-xa.icopylock.com:8888/udp/239.112.205.91:5140
CCTV15,http://summer-xa.icopylock.com:8888/udp/239.109.205.103:8760
CCTV15,http://summer-xa.icopylock.com:8888/udp/239.109.205.19:8080
CCTV15,http://summer-xa.icopylock.com:8888/udp/239.112.205.16:5140
CCTV15,http://summer-xa.icopylock.com:8888/udp/239.112.205.214:5140
CCTV16,http://summer-xa.icopylock.com:8888/udp/239.111.205.133:5140
CCTV16,http://summer-xa.icopylock.com:8888/udp/239.111.205.134:5140
CCTV17,http://summer-xa.icopylock.com:8888/udp/239.109.205.81:8584
CCTV17,http://summer-xa.icopylock.com:8888/udp/239.109.205.88:8640
CCTV17,http://summer-xa.icopylock.com:8888/udp/239.112.205.210:5140
CCTV17,http://summer-xa.icopylock.com:8888/udp/239.112.205.211:5140
CCTVNEWS,http://summer-xa.icopylock.com:8888/udp/239.109.205.13:8032
CCTV兵器科技,http://summer-xa.icopylock.com:8888/udp/239.110.205.95:7896
CCTV兵器科技,http://summer-xa.icopylock.com:8888/udp/239.111.205.74:5140
CCTV第一剧场,http://summer-xa.icopylock.com:8888/udp/239.110.205.86:7932
CCTV第一剧场,http://summer-xa.icopylock.com:8888/udp/239.111.205.65:5140
CCTV电视指南,http://summer-xa.icopylock.com:8888/udp/239.111.205.76:5140
CCTV风云剧场,http://summer-xa.icopylock.com:8888/udp/239.110.205.87:7928
CCTV风云剧场,http://summer-xa.icopylock.com:8888/udp/239.111.205.66:5140
CCTV风云音乐,http://summer-xa.icopylock.com:8888/udp/239.110.205.90:7916
CCTV风云音乐,http://summer-xa.icopylock.com:8888/udp/239.111.205.69:5140
CCTV风云足球,http://summer-xa.icopylock.com:8888/udp/239.110.205.89:7920
CCTV风云足球,http://summer-xa.icopylock.com:8888/udp/239.111.205.68:5140
CCTV高尔夫网球,http://summer-xa.icopylock.com:8888/udp/239.111.205.73:5140
CCTV高网,http://summer-xa.icopylock.com:8888/udp/239.110.205.94:7900
CCTV怀旧剧场,http://summer-xa.icopylock.com:8888/udp/239.110.205.88:7924
CCTV怀旧剧场,http://summer-xa.icopylock.com:8888/udp/239.111.205.67:5140
CCTV女性时尚,http://summer-xa.icopylock.com:8888/udp/239.110.205.93:7904
CCTV女性时尚,http://summer-xa.icopylock.com:8888/udp/239.111.205.72:5140
CCTV世界地理,http://summer-xa.icopylock.com:8888/udp/239.110.205.92:7908
CCTV世界地理,http://summer-xa.icopylock.com:8888/udp/239.111.205.71:5140
CCTV央视台球,http://summer-xa.icopylock.com:8888/udp/239.110.205.91:7912
CCTV央视台球,http://summer-xa.icopylock.com:8888/udp/239.111.205.70:5140
CCTV央视文化精品,http://summer-xa.icopylock.com:8888/udp/239.111.205.75:5140
CETV1,http://summer-xa.icopylock.com:8888/udp/239.109.205.47:8312
CETV1,http://summer-xa.icopylock.com:8888/udp/239.109.205.78:8560
CETV1,http://summer-xa.icopylock.com:8888/udp/239.112.205.137:5140
CETV1,http://summer-xa.icopylock.com:8888/udp/239.112.205.201:5140
CETV2,http://summer-xa.icopylock.com:8888/udp/239.109.205.48:8320
CETV2,http://summer-xa.icopylock.com:8888/udp/239.111.205.168:5140
CETV4,http://summer-xa.icopylock.com:8888/udp/239.109.205.49:8328
CETV4,http://summer-xa.icopylock.com:8888/udp/239.111.205.169:5140
CGTN,http://summer-xa.icopylock.com:8888/udp/239.111.205.32:5140
CGTN,http://summer-xa.icopylock.com:8888/udp/239.112.205.14:5140
CGTN法语,http://summer-xa.icopylock.com:8888/udp/239.110.205.80:7956
CGTN法语,http://summer-xa.icopylock.com:8888/udp/239.111.205.34:5140
CGTN高清,http://summer-xa.icopylock.com:8888/udp/239.110.205.78:7964
CGTN西班牙语,http://summer-xa.icopylock.com:8888/udp/239.110.205.79:7960
CGTN西语,http://summer-xa.icopylock.com:8888/udp/239.111.205.33:5140
IPTV3,http://summer-xa.icopylock.com:8888/udp/239.109.205.197:9650
IPTV3＋,http://summer-xa.icopylock.com:8888/udp/239.112.205.116:5140
IPTV5,http://summer-xa.icopylock.com:8888/udp/239.109.205.211:9184
IPTV5,http://summer-xa.icopylock.com:8888/udp/239.109.205.216:9702
IPTV5＋,http://summer-xa.icopylock.com:8888/udp/239.111.205.10:5140
IPTV5＋,http://summer-xa.icopylock.com:8888/udp/239.111.205.40:5140
IPTV6,http://summer-xa.icopylock.com:8888/udp/239.109.205.198:9654
IPTV6＋,http://summer-xa.icopylock.com:8888/udp/239.112.205.118:5140
IPTV8,http://summer-xa.icopylock.com:8888/udp/239.109.205.199:9658
IPTV8＋,http://summer-xa.icopylock.com:8888/udp/239.112.205.119:5140
IPTV相声小品,http://summer-xa.icopylock.com:8888/udp/239.109.205.212:9192
IPTV相声小品,http://summer-xa.icopylock.com:8888/udp/239.111.205.11:5140
爱上4K,http://summer-xa.icopylock.com:8888/udp/239.109.205.53:8360
爱生活,http://summer-xa.icopylock.com:8888/udp/239.110.205.55:9946
爱生活,http://summer-xa.icopylock.com:8888/udp/239.112.205.234:5140
安徽家家购物,http://summer-xa.icopylock.com:8888/udp/239.109.205.85:8616
安徽卫视,http://summer-xa.icopylock.com:8888/udp/239.109.205.24:8120
安徽卫视,http://summer-xa.icopylock.com:8888/udp/239.110.205.11:9790
安徽卫视,http://summer-xa.icopylock.com:8888/udp/239.112.205.39:5140
安徽卫视,http://summer-xa.icopylock.com:8888/udp/239.112.205.72:5140
北京家有购物[768*576],http://summer-xa.icopylock.com:8888/udp/239.112.205.155:5140
北京卫视,http://summer-xa.icopylock.com:8888/udp/239.109.205.162:8898
北京卫视,http://summer-xa.icopylock.com:8888/udp/239.109.205.20:8088
北京卫视,http://summer-xa.icopylock.com:8888/udp/239.112.205.32:5140
北京卫视,http://summer-xa.icopylock.com:8888/udp/239.112.205.65:5140
兵团卫视,http://summer-xa.icopylock.com:8888/udp/239.109.205.86:8624
兵团卫视,http://summer-xa.icopylock.com:8888/udp/239.112.205.198:5140
财富天下,http://summer-xa.icopylock.com:8888/udp/239.109.205.94:8688
财富天下,http://summer-xa.icopylock.com:8888/udp/239.112.205.196:5140
车迷,http://summer-xa.icopylock.com:8888/udp/239.110.205.76:8012
车迷,http://summer-xa.icopylock.com:8888/udp/239.111.205.63:5140
东方财经,http://summer-xa.icopylock.com:8888/udp/239.109.205.58:8400
东方财经,http://summer-xa.icopylock.com:8888/udp/239.111.205.179:5140
东方卫视,http://summer-xa.icopylock.com:8888/udp/239.109.205.121:8904
东方卫视,http://summer-xa.icopylock.com:8888/udp/239.109.205.21:8096
东方卫视,http://summer-xa.icopylock.com:8888/udp/239.112.205.28:5140
东方卫视,http://summer-xa.icopylock.com:8888/udp/239.112.205.61:5140
东南卫视,http://summer-xa.icopylock.com:8888/udp/239.109.205.177:9626
东南卫视,http://summer-xa.icopylock.com:8888/udp/239.109.205.37:8224
东南卫视,http://summer-xa.icopylock.com:8888/udp/239.112.205.182:5140
东南卫视,http://summer-xa.icopylock.com:8888/udp/239.112.205.42:5140
动漫秀场,http://summer-xa.icopylock.com:8888/udp/239.109.205.61:8424
动漫秀场,http://summer-xa.icopylock.com:8888/udp/239.111.205.182:5140
都市剧场,http://summer-xa.icopylock.com:8888/udp/239.109.205.50:8336
都市剧场,http://summer-xa.icopylock.com:8888/udp/239.109.205.77:8552
